short_name,player_positions,overall,potential,age,club_team_id,club_name,league_id,league_name,nationality_id,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
A. GrbiÄ‡,ST,69,70,26,217,Lorient,16,Ligue 1,4,Austria,Right,4,2,1,Medium/Medium,66,71,54,65,31,73,9,11,11,11,10,
Glauder,"CB, LB",69,70,27,1854,Albacete,54,La Liga 2,45,Spain,Left,3,2,1,Medium/High,70,35,56,63,67,79,14,14,10,15,13,
L. Fiordilino,"CM, CDM",69,70,26,112499,FeralpiSalÃ²,32,Serie B,27,Italy,Right,4,3,1,Medium/High,81,58,68,72,64,68,13,11,15,10,11,
N. EstÃ©vez,"CM, CDM",69,70,27,50,Parma,32,Serie B,52,Argentina,Right,3,3,1,Medium/Medium,68,67,71,72,62,65,14,12,9,12,10,
B. Hansen,CB,69,70,29,433,AIK,56,Allsvenskan,13,Denmark,Right,3,2,1,Medium/Medium,61,31,46,51,69,76,11,11,9,7,6,
MartÃ­n,"RB, RM, LB",69,70,27,112809,FamalicÃ£o,308,Liga Portugal,45,Spain,Right,3,3,1,High/Medium,63,35,61,67,67,64,13,9,9,7,9,
J. MÃ©ndez,"CDM, CM",69,70,26,101088,VÃ©lez Sarsfield,353,Liga Profesional,52,Argentina,Right,3,3,1,Medium/Medium,67,60,67,72,65,69,12,11,8,8,12,
G. Cortez,"CAM, LM",69,70,27,110981,Barcelona Guayaquil,2018,Liga Pro,57,Ecuador,Right,3,3,1,Medium/Low,59,70,71,71,39,64,13,7,14,11,6,
E. Sosa,CAM,69,70,27,111722,Deportes Tolima,336,Liga BetPlay,61,Venezuela,Right,3,3,1,Medium/Medium,70,68,62,72,39,64,9,12,11,10,9,
A. VukotiÄ‡,CB,69,70,27,492,Wehen Wiesbaden,20,2. Bundesliga,51,Serbia,Left,3,2,1,Medium/Medium,43,42,48,41,68,82,10,9,13,12,12,
F. DomÃ­nguez,"RM, CM",69,70,25,111019,Argentinos Juniors,353,Liga Profesional,60,Uruguay,Right,2,3,1,High/Medium,83,54,62,70,58,66,10,9,11,14,9,
A. Parmak,"CDM, CM",69,70,28,101041,Sivasspor,68,Super Lig,48,Turkey,Right,3,3,1,Medium/High,75,65,68,70,68,69,10,8,6,9,11,
VÃ­ctor GarcÃ­a,"RM, RB",69,70,26,100831,AlcorcÃ³n,54,La Liga 2,45,Spain,Right,3,4,1,High/Medium,71,66,65,69,50,61,11,6,12,7,6,
B. Angulo,ST,69,70,27,110984,Emelec,2018,Liga Pro,57,Ecuador,Right,4,3,1,High/Medium,71,68,49,67,25,71,11,8,10,7,6,
D. Sorescu,"RM, RB",69,70,25,114326,RakÃ³w CzÄ™stochowa,66,Ekstraklasa,39,Romania,Right,3,3,1,High/Medium,86,67,63,68,60,72,6,10,10,6,8,
L. Prip,RW,69,70,26,101033,Konyaspor,68,Super Lig,13,Denmark,Left,3,3,1,High/Medium,76,70,66,71,46,68,11,7,5,15,11,
M. MeyerhÃ¶fer,"RB, RM",69,70,27,165,SpVgg Greuther FÃ¼rth,20,2. Bundesliga,21,Germany,Right,2,2,1,Medium/Medium,54,40,61,69,66,69,8,9,5,8,6,
J. FlorentÃ­n,"CM, CDM",69,70,26,101088,VÃ©lez Sarsfield,353,Liga Profesional,58,Paraguay,Left,4,3,1,High/High,68,65,63,67,66,78,10,15,16,12,12,
A. Polar,"LM, CAM",69,70,26,114582,Deportivo Binacional,2020,Primera Division,59,Peru,Right,3,3,1,High/Low,85,59,61,70,27,59,14,12,11,13,7,
Ã. Campos,GK,69,70,30,111010,Alianza Lima,2020,Primera Division,59,Peru,Right,2,1,1,Medium/Medium,,,,,,,65,67,64,68,70,36
R. Ivanov,CB,69,70,28,110500,Eintracht Braunschweig,20,2. Bundesliga,17,Finland,Right,2,3,1,High/Medium,57,32,56,53,70,73,14,9,14,7,8,
D. Sinani,"RM, CAM",69,70,26,110329,St. Pauli,20,2. Bundesliga,31,Luxembourg,Left,3,3,1,High/Medium,67,68,70,69,41,68,10,14,8,10,12,
R. Lagos,"LB, LM",69,70,27,111010,Alianza Lima,2020,Primera Division,59,Peru,Left,2,2,1,Medium/Medium,79,41,68,66,63,61,14,6,6,6,9,
V. Edvardsen,"ST, LM",69,70,27,100632,Go Ahead Eagles,10,Eredivisie,46,Sweden,Right,4,2,1,Medium/Medium,80,68,62,68,32,79,6,14,7,10,5,
R. Carrillo,ST,69,70,26,10031,Portimonense,308,Liga Portugal,57,Ecuador,Right,2,2,1,Medium/Medium,63,70,52,68,26,68,6,6,14,6,13,
R. RÃ­os,"CM, CDM",69,70,27,111329,GuaranÃ­,337,Primera DivisiÃ³n,52,Argentina,Right,3,3,1,Medium/High,69,60,66,67,60,61,15,7,11,13,10,
RubÃ©n Alves,CB,69,70,28,456,Racing Santander,54,La Liga 2,45,Spain,Left,2,2,1,High/Medium,69,44,50,60,68,71,7,7,10,10,6,
A. Compagno,ST,69,70,27,100761,FCSB,330,Liga 1,27,Italy,Right,4,2,1,Low/Medium,57,67,49,62,33,79,7,13,8,9,13,
N. Wimmer,CB,69,70,28,1787,Austria Klagenfurt,80,Bundesliga,4,Austria,Left,3,2,1,Medium/High,51,45,51,59,69,78,6,9,11,15,15,
Marquinhos,"LW, RW",69,70,26,100135,APOEL,318,1. Division,54,Brazil,Right,3,4,1,Medium/Low,85,61,61,72,26,54,8,10,14,15,11,
G. Pegolo,GK,69,69,42,111974,Sassuolo,31,Serie A,27,Italy,Left,2,1,1,Medium/Medium,,,,,,,66,68,60,70,69,43
M. Demir,"ST, CF",69,69,31,101033,Konyaspor,68,Super Lig,48,Turkey,Right,4,3,1,High/Low,70,70,66,67,37,67,14,10,12,16,6,
I. Sosa,"ST, LW, RM",69,69,36,112585,Ã‘ublense,335,Primera Division,52,Argentina,Right,3,4,1,High/Low,70,69,69,72,48,69,14,11,8,11,12,
R. Riou,GK,69,69,35,66,Olympique Lyonnais,16,Ligue 1,18,France,Right,1,1,2,Medium/Medium,,,,,,,69,66,65,70,68,48
Ãlex LÃ³pez,"CM, CDM",69,69,35,110242,Racing Ferrol,54,La Liga 2,45,Spain,Right,3,3,1,Medium/Medium,59,67,71,67,58,65,9,12,8,11,8,
M. Bottani,"CAM, ST",69,69,32,10032,Lugano,189,Super League,47,Switzerland,Right,4,4,1,High/Low,80,65,65,71,41,51,6,12,7,7,14,
C. Marrugo,"CAM, CM",69,69,37,101104,Santa Fe,336,Liga BetPlay,56,Colombia,Right,4,3,1,Medium/Low,54,67,70,70,52,62,7,12,16,7,14,
R. Gurtner,GK,69,69,36,1816,Amiens SC,17,Ligue 2,18,France,Right,2,1,1,Medium/Medium,,,,,,,66,67,68,69,68,42
G. Svensson,"CDM, CM, CB",69,69,36,319,IFK GÃ¶teborg,56,Allsvenskan,46,Sweden,Right,2,3,1,Low/High,34,46,59,62,69,76,15,12,11,16,6,
Vieirinha,"LB, RB, CB",69,69,37,393,PAOK,63,Super League,38,Portugal,Right,4,4,2,Medium/Medium,65,73,73,73,66,57,15,10,12,11,13,
J. de GuzmÃ¡n,"CM, CDM",69,69,35,100646,Sparta Rotterdam,10,Eredivisie,34,Netherlands,Right,4,3,1,Medium/Medium,65,71,72,73,57,62,10,8,12,6,10,
S. Arfield,"CM, CAM",69,69,34,114640,Charlotte,39,Major League Soccer,70,Canada,Right,3,2,2,High/Medium,43,68,70,70,65,63,13,13,9,13,16,
D. Ciofani,ST,69,69,37,111434,Cremonese,32,Serie B,27,Italy,Right,3,2,2,High/Low,50,71,44,60,25,65,11,9,7,13,15,
Varela,CB,69,69,35,114510,Casa Pia,308,Liga Portugal,104,Cape Verde Islands,Right,3,2,1,Low/Medium,61,44,53,59,68,79,6,9,13,12,13,
C. Avinel,CB,69,69,36,614,Ajaccio,17,Ligue 2,18,France,Right,3,2,1,Low/High,67,46,51,46,69,79,16,12,13,11,14,
B. Kopplin,"LB, RB",69,69,34,1786,Randers,1,Superliga,21,Germany,Right,4,3,1,High/Medium,76,56,61,68,63,75,11,8,14,11,8,
C. Cathcart,CB,69,69,34,100081,Kortrijk,4,Jupiler Pro League,35,Northern Ireland,Right,3,2,1,Medium/High,35,37,55,51,69,70,8,6,12,9,13,
D. McGoldrick,"ST, CAM, CF",69,69,35,1937,Notts County,61,League Two,25,Republic of Ireland,Right,3,3,1,Medium/High,55,71,66,70,33,66,15,7,10,10,9,
M. MÃ¤nnel,GK,69,69,35,506,Erzgebirge Aue,2076,3. Liga,21,Germany,Right,3,1,1,Medium/Medium,,,,,,,72,69,58,66,71,49
RÃºben Ribeiro,"CM, CAM",69,69,35,518,Chaves,308,Liga Portugal,38,Portugal,Right,4,4,1,Medium/Medium,63,68,73,73,63,60,14,13,8,16,6,
M. Albrighton,"RM, RWB, RW",69,69,33,95,Leicester City,14,Championship,14,England,Right,3,3,2,High/High,56,66,71,69,60,62,15,9,8,15,14,
N. Theuerkauf,"CDM, LB, CB",69,69,36,111235,Heidenheim,19,Bundesliga,21,Germany,Left,3,2,1,Medium/Medium,54,56,63,63,68,77,14,7,11,6,12,
L. Nestor,CB,69,69,34,1805,Grenoble Foot 38,17,Ligue 2,18,France,Right,3,2,1,Medium/High,49,45,55,56,69,80,15,7,12,13,14,
J. Allen,"CDM, CM",69,69,33,1960,Swansea City,14,Championship,50,Wales,Right,2,3,1,Medium/High,57,61,68,71,67,60,10,13,12,6,8,
Ã˜. Nyland,GK,69,69,32,481,Sevilla,53,La Liga,36,Norway,Right,4,1,1,Medium/Medium,,,,,,,69,68,68,68,70,47
M. James,"CDM, CM",69,69,31,1919,Bristol City,14,Championship,14,England,Right,3,3,1,Medium/Medium,52,62,72,66,66,69,7,10,15,8,14,
S. FernÃ¡ndez,"ST, RW, LW",69,69,38,110998,Danubio,338,Primera Division,60,Uruguay,Right,4,3,1,High/Medium,72,69,63,70,35,49,6,6,11,13,10,
K. Naughton,"CB, RB",69,69,34,1960,Swansea City,14,Championship,14,England,Right,3,2,1,Medium/Medium,56,51,63,66,71,66,12,10,9,9,11,
G. Vural,"LB, LWB, LM",69,69,35,741,Antalyaspor,68,Super Lig,48,Turkey,Left,3,3,1,High/Medium,76,68,70,73,61,62,8,9,16,6,13,
E. MuÃ±oz,CB,69,69,32,101083,Estudiantes,353,Liga Profesional,52,Argentina,Right,3,2,1,Low/Medium,51,31,48,49,70,70,11,11,7,11,12,
VÃ­tor Gomes,"CM, CDM",69,69,35,744,Rio Ave,308,Liga Portugal,38,Portugal,Right,3,3,1,Low/Medium,51,65,71,68,64,70,6,15,9,15,7,
W. Yarbrough,GK,69,69,34,694,Colorado Rapids,39,Major League Soccer,95,United States,Right,3,1,1,Medium/Medium,,,,,,,70,64,70,70,69,58
M. Godden,ST,69,69,31,1800,Coventry City,14,Championship,14,England,Right,3,2,1,High/Medium,57,73,56,63,32,67,9,10,15,15,9,
P. Mpoku,"ST, RW, RM",69,69,31,110765,Incheon United,83,K League 1,110,Congo DR,Right,4,4,1,High/Medium,72,71,73,70,46,68,8,11,7,10,13,
J. McLaughlin,GK,69,69,35,86,Rangers,50,Premiership,42,Scotland,Right,3,1,1,Medium/Medium,,,,,,,69,71,70,67,69,51
M. Phillips,"LM, RM",69,69,32,109,West Bromwich Albion,14,Championship,42,Scotland,Right,4,4,1,High/Medium,74,68,66,70,43,67,14,16,16,10,10,
M. Wakaso,"CM, CDM",69,69,32,111773,Shenzhen,2012,Super League,117,Ghana,Left,2,2,1,Medium/High,71,67,67,72,68,76,10,16,7,15,14,
D. Brosinski,"RB, LWB, RWB",69,69,34,1832,Karlsruher SC,20,2. Bundesliga,21,Germany,Right,3,3,1,Medium/Medium,68,59,68,68,67,65,9,11,16,14,6,
J. Livermore,"CDM, CM",69,69,33,1795,Watford,14,Championship,14,England,Right,2,3,1,Medium/Medium,50,61,65,67,67,75,9,15,8,10,9,
D. Diekmeier,RWB,69,69,33,110178,Sandhausen,2076,3. Liga,21,Germany,Right,2,3,1,High/Medium,77,40,62,62,66,71,6,14,10,11,7,
D. Latza,"CM, CDM",69,69,33,34,Schalke 04,20,2. Bundesliga,21,Germany,Right,4,3,1,Medium/Medium,66,60,67,70,63,72,7,16,14,6,16,
RÃ­os Reina,LB,69,69,33,467,SD Eibar,54,La Liga 2,45,Spain,Left,3,2,1,Medium/Medium,78,60,68,67,62,78,13,10,8,14,6,
A. Rispoli,"RB, RM",69,69,34,112168,Cosenza,32,Serie B,27,Italy,Right,3,3,1,High/Medium,73,61,65,65,64,73,15,10,14,9,12,
B. Koita,"ST, RW",69,69,32,436,Trabzonspor,68,Super Lig,118,Guinea,Right,5,3,1,Medium/Low,76,68,56,66,22,64,7,8,12,7,9,
Ãlvaro GimÃ©nez,ST,69,69,32,110242,Racing Ferrol,54,La Liga 2,45,Spain,Left,3,3,1,Medium/Low,70,68,59,66,30,65,13,10,9,8,9,
V. Manceau,"CB, RB, RWB",69,69,33,62,Guingamp,17,Ligue 2,18,France,Right,3,2,1,Medium/High,41,47,67,67,70,68,16,10,10,11,16,
T. Kolodziejczak,"CB, LB",69,69,31,111817,Paris,17,Ligue 2,18,France,Left,2,2,2,High/Medium,66,39,64,60,68,72,14,6,10,16,7,
P. Tachtsidis,"CDM, CAM, CM",69,69,32,110816,CFR Cluj,330,Liga 1,22,Greece,Left,3,3,2,Medium/Medium,46,61,69,63,65,78,10,14,12,15,11,
A. LjajiÄ‡,"CAM, CM",69,69,31,111117,Fatih KaragÃ¼mrÃ¼k,68,Super Lig,51,Serbia,Right,4,4,2,Low/Low,63,69,71,70,49,47,6,14,7,6,12,
M. Smith,ST,69,69,31,1807,Sheffield Wednesday,14,Championship,14,England,Right,3,2,1,Medium/Medium,51,68,56,60,30,83,15,11,14,8,11,
O. Jansson,GK,69,69,32,702,NorrkÃ¶ping,56,Allsvenskan,46,Sweden,Right,2,1,1,Medium/Medium,,,,,,,69,65,67,70,69,33
P. PekarÃ­k,RB,69,69,36,166,Hertha BSC,20,2. Bundesliga,43,Slovakia,Right,3,2,2,Medium/Medium,54,40,63,70,68,63,12,12,15,9,10,
M. D'Alessandro,"LW, LM, RW",69,69,32,110738,Pisa,32,Serie B,27,Italy,Right,3,3,1,Medium/Medium,83,60,66,74,44,45,14,11,11,6,9,
RÃºben Lima,"LB, LWB, CB",69,69,33,112809,FamalicÃ£o,308,Liga Portugal,38,Portugal,Left,2,3,1,Medium/Medium,68,56,65,68,67,66,16,12,6,8,10,
P. Abrahamsson,GK,69,69,34,711,HÃ¤cken,56,Allsvenskan,46,Sweden,Right,3,1,1,Medium/Medium,,,,,,,69,70,69,68,70,41
P. Lasne,"CDM, CM",69,69,34,111817,Paris,17,Ligue 2,18,France,Left,4,3,1,Low/High,43,61,70,67,66,70,8,8,6,7,7,
S. Jung,RB,69,69,33,1832,Karlsruher SC,20,2. Bundesliga,21,Germany,Right,4,3,1,Medium/Medium,67,50,65,68,68,64,11,10,8,8,12,
M. Rojas,"LW, LM, RW",69,69,31,,,,,198,New Zealand,Right,4,4,1,High/Medium,77,66,66,73,45,46,8,8,7,9,12,
S. Malone,"LB, LWB",69,69,32,1802,Gillingham,61,League Two,14,England,Left,3,3,1,High/Medium,72,60,64,66,63,70,12,9,11,9,7,
F. Berenguer,"CM, CAM, CDM",69,69,34,111395,Brisbane Roar,351,A-League,18,France,Right,4,3,1,Medium/Medium,63,63,70,71,57,64,16,9,14,6,10,
L. Benito,"LB, CB",69,69,31,900,Young Boys,189,Super League,47,Switzerland,Left,3,2,1,Medium/Medium,66,51,63,63,66,76,15,15,16,8,7,
D. Novaretti,CB,69,69,38,111022,Belgrano,353,Liga Profesional,52,Argentina,Left,3,2,1,Medium/Medium,32,32,50,44,70,76,6,11,7,12,11,
C. GroÃŸ,"CDM, CB",69,69,34,38,Werder Bremen,19,Bundesliga,21,Germany,Right,3,2,1,Low/Medium,58,53,61,63,69,71,7,8,6,16,12,
D. DumiÄ‡,CB,69,69,31,131110,Eldense,54,La Liga 2,8,Bosnia and Herzegovina,Right,3,2,1,Medium/High,46,49,55,46,68,68,15,13,14,12,10,
C. Hourihane,"CM, CDM",69,69,32,91,Derby County,60,League One,25,Republic of Ireland,Left,3,3,1,Medium/Medium,52,66,71,67,63,68,9,16,11,6,9,
T. Schick,"RB, RM",69,69,33,254,Rapid Wien,80,Bundesliga,4,Austria,Right,4,3,1,Medium/Medium,66,64,68,67,65,68,15,13,9,16,16,
J. Colback,"CDM, CM, LWB",69,69,33,15,Queens Park Rangers,14,Championship,14,England,Left,2,3,1,Medium/High,51,58,64,63,69,66,6,6,6,10,7,
J. BÃ¶rner,CB,69,69,32,485,Hannover 96,20,2. Bundesliga,21,Germany,Left,3,2,1,Medium/High,61,58,55,55,67,78,7,13,12,15,16,
J. GreguÅ¡,"CDM, CM",69,69,32,111138,Minnesota United,39,Major League Soccer,43,Slovakia,Right,4,3,1,Medium/Medium,63,68,72,67,65,73,8,7,13,7,6,
F. Ulvestad,"CM, CDM",69,69,31,110746,PogoÅ„ Szczecin,66,Ekstraklasa,36,Norway,Right,3,3,1,Medium/Low,64,64,66,70,66,75,9,11,16,14,8,
F. Hanin,"LB, LWB",69,69,33,1530,Angers SCO,17,Ligue 2,18,France,Left,3,3,1,High/Medium,80,44,65,67,63,74,6,11,12,11,12,
AntÃ³nio Filipe,GK,69,69,38,718,Estrela Amadora,308,Liga Portugal,38,Portugal,Right,2,1,1,Medium/Medium,,,,,,,71,67,58,70,71,33
Javi LÃ³pez,RB,69,69,37,111393,Adelaide United,351,A-League,45,Spain,Right,3,3,1,Medium/Medium,65,52,66,67,66,76,10,8,7,12,16,
A. Finnbogason,"ST, CF",69,69,34,2013,AS Eupen,4,Jupiler Pro League,24,Iceland,Right,4,3,2,Medium/Medium,37,73,61,71,33,64,6,15,16,15,11,
B. Maubleu,GK,69,69,33,1805,Grenoble Foot 38,17,Ligue 2,18,France,Right,3,1,1,Medium/Medium,,,,,,,66,67,65,69,69,40
N. Besara,"CAM, ST, CM",69,69,32,708,Hammarby,56,Allsvenskan,46,Sweden,Right,3,3,1,Medium/Medium,69,70,70,67,44,67,10,13,9,6,16,
G. Efrem,"CAM, RM, LM",69,69,33,100135,APOEL,318,1. Division,11,Cyprus,Left,4,3,1,Medium/Medium,70,57,64,73,30,48,16,8,15,8,15,
G. Ã…sen,"LM, CM",69,69,32,299,LillestrÃ¸m,41,Eliteserien,36,Norway,Left,3,3,1,High/High,58,65,69,69,51,69,7,12,15,7,13,
M. BÃ¼chel,"CDM, CM",69,69,32,1847,Ascoli,32,Serie B,29,Liechtenstein,Left,3,3,1,Medium/Medium,70,57,69,70,60,67,8,4,3,7,7,
M. van der Maarel,"LB, CB, RB",69,69,33,1903,FC Utrecht,10,Eredivisie,34,Netherlands,Right,3,2,1,Medium/Medium,58,40,60,61,69,72,9,8,10,7,8,
L. Palmer,"RB, CB, CDM",69,69,31,1807,Sheffield Wednesday,14,Championship,42,Scotland,Right,3,2,1,High/High,73,59,64,65,64,76,11,14,8,8,6,
J. McClean,"LWB, LM",69,69,34,1947,Wrexham,61,League Two,25,Republic of Ireland,Left,2,3,2,High/Medium,66,64,65,69,62,77,6,16,16,15,15,
A. Iannarilli,GK,69,69,32,570,Ternana,32,Serie B,27,Italy,Right,2,1,1,Medium/Medium,,,,,,,66,69,70,67,70,44
A. Najar,"RM, RB, CB",69,69,30,688,DC United,39,Major League Soccer,81,Honduras,Right,4,3,2,High/Medium,71,62,67,72,71,66,12,9,12,8,16,
J. Toledo,ST,69,69,37,110406,ColÃ³n,353,Liga Profesional,52,Argentina,Left,3,2,1,High/Medium,43,72,63,61,43,74,9,11,8,12,10,
V. Pajot,"CM, CDM",69,69,32,115494,Annecy,17,Ligue 2,18,France,Right,3,2,1,Medium/Medium,49,56,68,68,66,71,9,11,16,16,11,
A. Bamba,"RB, CB, RWB",69,69,33,1530,Angers SCO,17,Ligue 2,108,CÃ´te d'Ivoire,Right,3,2,1,Medium/Medium,69,40,62,63,68,65,14,13,8,7,8,
J. Cuffaut,"CB, RB, LB",69,69,35,110456,Valenciennes,17,Ligue 2,18,France,Right,3,3,1,High/Medium,66,58,63,61,68,77,9,7,10,16,7,
M. Hector,CB,69,69,30,89,Charlton Athletic,60,League One,82,Jamaica,Right,2,2,1,Low/Medium,51,46,51,53,68,74,13,12,11,12,13,
J. Heris,"CB, RB",69,69,32,8001,RWDM,4,Jupiler Pro League,7,Belgium,Right,2,2,1,High/High,46,48,58,60,69,77,12,8,6,9,13,
G. Shinnie,"CDM, CM",69,69,31,77,Aberdeen,50,Premiership,42,Scotland,Left,2,2,1,Medium/High,67,59,65,67,68,73,13,6,6,14,12,
B. Gibson,CB,69,69,30,1792,Norwich City,14,Championship,14,England,Left,3,2,1,Low/Medium,50,27,48,46,70,75,12,8,16,16,11,
Marc MartÃ­nez,GK,69,69,33,100851,FC Cartagena,54,La Liga 2,45,Spain,Right,2,1,1,Medium/Medium,,,,,,,69,68,65,66,74,49
Y. Konoplyanka,"LM, CF",69,69,33,110816,CFR Cluj,330,Liga 1,49,Ukraine,Right,3,4,2,Medium/Low,73,68,69,71,32,59,5,11,15,9,9,
Zhang Linpeng,"CB, RB",69,69,34,112540,Shanghai Port,2012,Super League,155,China PR,Right,3,3,1,High/High,66,55,61,63,66,83,8,8,9,14,10,
H. Verhulst,GK,69,69,30,1906,AZ Alkmaar,10,Eredivisie,34,Netherlands,Left,3,1,1,Medium/Medium,,,,,,,68,66,72,67,71,46
D. Thomalla,"CAM, ST",69,69,30,111235,Heidenheim,19,Bundesliga,21,Germany,Right,3,2,1,Medium/Medium,63,68,65,69,38,67,14,15,8,14,13,
C. GytkjÃ¦r,ST,69,69,33,205,Venezia,32,Serie B,13,Denmark,Right,4,3,1,High/Medium,56,72,56,68,33,67,11,12,12,14,15,
F. Santander,ST,69,69,32,111329,GuaranÃ­,337,Primera DivisiÃ³n,58,Paraguay,Right,2,3,1,High/High,53,70,61,65,31,75,10,7,13,10,12,
L. Boyce,"ST, CAM",69,69,32,80,Hearts,50,Premiership,35,Northern Ireland,Right,4,3,1,High/Medium,66,69,60,69,33,76,11,12,9,14,13,
S. Lletget,"CM, RM",69,69,30,695,Dallas,39,Major League Soccer,95,United States,Right,5,4,1,High/High,71,61,70,71,60,72,6,14,13,7,9,
A. Fiola,"RWB, CB, RB",69,69,33,,,,,23,Hungary,Right,3,3,1,Medium/High,70,39,57,68,67,68,9,13,7,9,6,
K. Kraus,CB,69,69,30,29,Kaiserslautern,20,2. Bundesliga,21,Germany,Right,3,2,1,Medium/Medium,54,42,47,43,68,80,8,7,15,8,11,
C. Piccini,"CB, RB",69,69,30,110588,Magdeburg,20,2. Bundesliga,27,Italy,Right,3,3,1,High/Medium,64,45,66,68,68,72,8,9,5,7,11,
J. SÃ¡nchez MiÃ±o,"LB, LM, CM",69,69,33,110395,LanÃºs,353,Liga Profesional,52,Argentina,Left,2,4,1,Medium/Medium,66,68,72,69,65,65,12,13,11,14,9,
J. Schmid,"RB, RM",69,69,33,781,Austria Lustenau,80,Bundesliga,18,France,Right,3,3,2,Medium/Medium,57,64,75,72,67,69,15,7,7,10,8,
J. Geis,"CDM, CB",69,69,29,171,NÃ¼rnberg,20,2. Bundesliga,21,Germany,Right,3,2,1,Low/Medium,43,63,75,63,67,68,15,15,14,16,8,
M. Boxall,CB,69,69,34,111138,Minnesota United,39,Major League Soccer,198,New Zealand,Right,2,2,1,Medium/Medium,55,42,58,57,67,80,13,9,14,7,8,
A. MiloÅ¡eviÄ‡,CB,69,69,31,433,AIK,56,Allsvenskan,46,Sweden,Right,3,2,1,Medium/Medium,52,53,55,55,68,78,10,11,12,8,10,
N. Wells,"ST, LW",69,69,33,1919,Bristol City,14,Championship,68,Bermuda,Right,3,3,1,High/Medium,77,68,64,69,44,62,10,6,13,11,7,
Kim Oh Gyu,CB,69,69,34,1478,Jeju United,83,K League 1,167,Korea Republic,Right,3,2,1,Low/High,66,41,57,49,68,79,7,8,16,10,12,
F. Castillo,"ST, LM, RM",69,69,31,110980,Colo-Colo,335,Primera Division,56,Colombia,Right,4,4,1,High/Medium,86,69,63,72,43,72,12,10,16,8,7,
B. Siegrist,GK,69,69,31,78,Celtic,50,Premiership,47,Switzerland,Right,3,1,1,Medium/Medium,,,,,,,69,67,63,70,70,34
J. Scowen,"CDM, CM",69,69,30,1933,Wycombe Wanderers,60,League One,14,England,Right,3,2,1,Medium/High,60,54,61,65,68,75,9,14,8,11,9,
M. Franke,CB,69,69,30,1832,Karlsruher SC,20,2. Bundesliga,21,Germany,Right,2,2,1,Medium/High,55,31,41,45,68,78,15,9,11,15,10,
C. Good,CB,69,69,30,112224,Melbourne City,351,A-League,195,Australia,Left,3,2,1,Medium/Medium,61,35,56,57,68,79,10,8,7,14,8,
Yu Sang Hun,GK,69,69,34,112115,Gangwon,83,K League 1,167,Korea Republic,Right,3,1,1,Medium/Medium,,,,,,,70,68,60,68,72,39
L. Thomas,GK,69,69,31,112427,Western Sydney Wanderers,351,A-League,195,Australia,Right,2,1,1,Medium/Medium,,,,,,,70,67,69,68,69,36
F. HÃ¼bner,CB,69,69,32,171,NÃ¼rnberg,20,2. Bundesliga,21,Germany,Right,3,2,1,Medium/Medium,30,43,43,42,71,72,8,12,13,10,13,
D. Pavelka,"CDM, CM, CB",69,69,32,267,Sparta Praha,319,Fortuna Liga,12,Czech Republic,Right,3,3,1,Medium/Medium,59,59,65,65,66,73,10,8,11,16,11,
M. Bruno,"CAM, LM, RM",69,69,29,100081,Kortrijk,4,Jupiler Pro League,7,Belgium,Right,4,3,1,Medium/Medium,68,68,68,71,42,60,6,12,14,14,14,
S. Bradley,CB,69,69,31,91,Derby County,60,League One,14,England,Left,3,2,1,Medium/High,51,31,47,49,68,76,13,15,9,9,9,
Juan Carlos,"ST, LM, CM",69,69,32,100851,FC Cartagena,54,La Liga 2,45,Spain,Right,3,3,1,Medium/High,60,70,68,72,54,61,8,11,14,6,8,
J. Ralls,"CM, CDM",69,69,29,1961,Cardiff City,14,Championship,14,England,Left,2,3,1,Medium/High,58,67,70,68,64,65,9,16,13,11,11,
B. Wilson,GK,69,69,30,1800,Coventry City,14,Championship,14,England,Right,3,1,1,Medium/Medium,,,,,,,72,68,62,65,72,40
D. Ndongala,"RW, RM",69,69,32,100135,APOEL,318,1. Division,110,Congo DR,Right,3,3,1,Medium/Medium,81,59,64,74,28,42,11,10,9,10,15,
David Ferreiro,"LM, RM, CM",69,69,35,100851,FC Cartagena,54,La Liga 2,45,Spain,Right,3,4,1,High/Low,76,66,69,72,36,40,6,11,7,7,15,
A. Pritchard,"CAM, CM",69,69,30,106,Sunderland,14,Championship,14,England,Right,3,3,1,High/Low,61,67,69,72,46,43,13,13,14,10,8,
Nicolas,GK,69,69,35,110738,Pisa,32,Serie B,54,Brazil,Right,5,1,1,Medium/Medium,,,,,,,71,69,64,67,71,43
D. Bulthuis,CB,69,69,33,983,Suwon Bluewings,83,K League 1,34,Netherlands,Left,3,2,1,Medium/Medium,57,38,57,53,66,83,15,7,11,14,16,
M. Ihiekwe,CB,69,69,30,1807,Sheffield Wednesday,14,Championship,14,England,Right,3,2,1,Medium/High,65,36,44,57,69,79,7,15,6,15,8,
S. Walsh,"RB, RWB",69,69,28,110724,Mechelen,4,Jupiler Pro League,34,Netherlands,Right,3,3,1,High/High,61,37,62,64,68,72,11,10,7,12,13,
D. Gayle,ST,69,69,32,1806,Stoke City,14,Championship,14,England,Right,4,3,1,Medium/Low,75,70,57,71,28,53,10,7,16,8,8,
